model,fold,accuracy,f1_macro,f1_weighted,log_loss,brier_multiclass,ece
random_forest,1,0.7447973713033954,0.6119360602082423,0.7425364927979122,1.0293415055616195,0.3339995828359345,0.0747115248171423
xgboost,1,0.7371303395399781,0.6096864736367417,0.7512082648081505,0.8115426326284145,0.34415011591366623,0.10550829226320439
random_forest,2,0.7598684210526315,0.6224765715039817,0.7594234926638209,1.0539614689681498,0.31048569404856646,0.07629321362624553
xgboost,2,0.7642543859649122,0.6557050219521533,0.7774894947205904,0.7325510664628482,0.3175323219900099,0.0783803037514812
random_forest,3,0.7401315789473685,0.6048668041995399,0.7429692429644156,1.031185198599122,0.3246954155211853,0.07275182753963691
xgboost,3,0.7510964912280702,0.6446132033506898,0.7675488056782306,0.7784183248412329,0.3291005812268219,0.079195265184369
random_forest,4,0.756578947368421,0.6156626875040537,0.7571796689586271,1.0030697651915226,0.3219406067431523,0.064573145994279
xgboost,4,0.7587719298245614,0.6530382725494531,0.7707803324528077,0.7675014728760199,0.3301030665293394,0.07945329865865539
random_forest,5,0.7521929824561403,0.6106739658644064,0.75149281882291,1.01567922836574,0.3198115553139438,0.06743083165889491
xgboost,5,0.75,0.6256139159157069,0.7633866234793331,0.7969658412867521,0.338780238060125,0.0885097926253812
